attendance_percentage,study_hours_per_week,previous_gpa,midterm_score,assignment_completion,quiz_score,sleep_hours_per_day,extracurricular,internet_access,final_score,final_gpa,grade,passed,risk_level
80.4,15.4,2.8,75.4,100.0,63.3,7.0,1,1,77.4,3.1,B,1,MEDIUM
70.8,6.3,2.62,56.9,93.7,56.9,7.5,1,1,69.0,2.76,C,1,HIGH
78.8,15.3,3.07,66.2,69.0,48.3,7.5,1,1,58.7,2.35,D,1,HIGH
73.4,14.3,3.28,71.0,99.0,68.1,5.9,0,1,77.2,3.09,B,1,HIGH
79.4,3.4,4.0,71.0,77.2,54.3,9.5,0,1,74.6,2.98,B,1,MEDIUM
85.9,8.6,2.34,65.2,100.0,59.2,6.7,1,1,67.7,2.71,C,1,MEDIUM
97.0,18.0,3.68,92.1,94.1,71.5,7.9,1,1,91.2,3.65,A+,1,LOW
63.1,7.1,3.59,67.9,37.9,36.9,8.0,0,1,56.5,2.26,D,1,CRITICAL
100.0,9.7,2.71,71.5,66.9,48.9,7.0,1,1,81.2,3.25,B+,1,LOW
54.6,14.3,3.2,58.5,96.2,57.9,7.9,1,0,57.8,2.31,D,1,CRITICAL
76.2,15.9,2.87,64.8,84.3,52.6,7.5,1,1,72.4,2.9,B,1,MEDIUM
85.1,10.7,3.19,75.9,66.6,49.5,5.6,1,1,68.8,2.75,C,1,MEDIUM
81.4,9.0,3.85,81.9,72.5,50.1,6.8,0,1,68.2,2.73,C,1,MEDIUM
70.5,19.1,3.4,72.7,53.4,38.7,6.5,1,1,60.2,2.41,C,1,HIGH
75.5,20.7,3.35,76.2,80.7,49.1,6.7,1,1,71.7,2.87,B,1,MEDIUM
72.1,16.9,2.88,76.4,100.0,54.6,5.8,1,1,76.8,3.07,B,1,HIGH
70.9,12.4,2.36,63.3,94.1,51.3,8.4,0,1,72.0,2.88,B,1,HIGH
88.2,8.0,3.0,72.2,100.0,60.6,9.0,0,1,81.9,3.28,B+,1,LOW
82.3,7.8,3.7,67.0,95.2,58.8,8.3,1,1,71.4,2.86,B,1,MEDIUM
69.7,14.6,2.34,65.1,97.4,56.9,8.6,0,1,72.1,2.88,B,1,HIGH
88.8,14.1,2.57,67.2,100.0,46.0,6.8,1,1,72.2,2.89,B,1,MEDIUM
81.7,19.0,3.16,71.6,87.7,66.0,6.5,1,1,73.1,2.92,B,1,MEDIUM
87.8,15.3,2.61,70.8,79.2,59.4,6.3,1,1,71.3,2.85,B,1,MEDIUM
85.6,4.5,2.7,60.8,97.5,59.9,7.9,1,1,69.2,2.77,C,1,MEDIUM
68.1,17.3,2.89,66.4,100.0,71.4,7.4,1,1,73.7,2.95,B,1,HIGH
71.3,7.0,2.42,49.8,74.8,39.0,7.1,1,0,53.7,2.15,D,1,HIGH
87.0,10.1,2.61,72.9,71.2,61.7,8.6,1,1,68.3,2.73,C,1,MEDIUM
85.3,13.3,3.45,82.2,84.1,52.5,7.6,1,1,77.8,3.11,B,1,LOW
77.7,22.0,2.45,62.4,94.5,57.9,6.3,1,1,71.2,2.85,B,1,MEDIUM
79.4,27.5,2.3,81.1,94.0,54.3,6.5,1,1,73.0,2.92,B,1,MEDIUM
93.3,15.0,2.78,72.3,60.6,46.0,8.0,1,1,72.7,2.91,B,1,MEDIUM
70.9,11.1,3.47,72.8,100.0,64.2,8.3,0,1,74.8,2.99,B,1,HIGH
84.6,14.7,3.0,73.5,72.4,50.1,7.8,1,0,68.8,2.75,C,1,MEDIUM
75.6,16.4,2.87,70.2,78.0,56.6,9.3,1,1,71.5,2.86,B,1,MEDIUM
75.4,10.4,3.12,66.3,68.5,47.9,9.0,1,1,64.5,2.58,C,1,MEDIUM
91.2,21.0,2.23,81.7,100.0,61.4,7.7,1,1,79.0,3.16,B,1,LOW
87.9,13.2,3.35,70.7,85.6,52.0,6.3,1,1,64.2,2.57,C,1,MEDIUM
87.8,14.5,3.29,80.5,69.2,56.7,5.8,1,0,74.5,2.98,B,1,MEDIUM
93.7,15.3,2.9,83.1,95.0,59.0,6.8,1,1,73.5,2.94,B,1,MEDIUM
78.3,14.1,3.6,78.9,93.5,66.6,8.0,1,1,74.7,2.99,B,1,MEDIUM
86.2,16.2,2.54,83.7,79.2,64.1,9.2,1,1,71.9,2.88,B,1,MEDIUM
74.3,8.9,3.66,67.2,94.6,48.0,7.7,0,1,66.7,2.67,C,1,HIGH
81.9,9.2,3.18,74.4,69.6,57.0,8.5,1,0,69.4,2.78,C,1,MEDIUM
76.4,6.5,2.93,62.5,74.6,61.0,6.9,1,1,66.1,2.64,C,1,MEDIUM
79.2,14.2,3.09,77.9,51.8,45.6,7.9,1,1,68.4,2.74,C,1,MEDIUM
85.1,15.9,3.05,75.4,62.1,51.1,8.1,0,1,70.1,2.8,B,1,MEDIUM
68.2,14.3,3.71,69.9,100.0,67.2,5.0,0,1,69.0,2.76,C,1,HIGH
100.0,20.4,2.56,88.3,100.0,64.8,6.7,1,1,84.4,3.38,B+,1,LOW
65.9,12.0,2.72,58.5,83.0,51.8,8.2,0,0,64.1,2.56,C,1,HIGH
63.4,15.3,3.62,62.7,100.0,50.9,7.5,1,1,67.1,2.68,C,1,CRITICAL
91.9,6.5,2.8,66.4,79.6,52.6,5.9,1,1,70.2,2.81,B,1,MEDIUM
87.5,10.1,3.55,78.9,78.3,58.0,4.5,1,1,77.0,3.08,B,1,LOW
85.5,15.5,3.95,89.4,82.8,63.1,6.8,0,1,84.7,3.39,B+,1,LOW
85.5,16.2,2.9,75.2,80.1,61.0,7.1,1,1,68.7,2.75,C,1,MEDIUM
77.9,10.5,3.44,77.6,78.8,50.1,6.2,1,1,70.9,2.84,B,1,MEDIUM
67.2,11.6,2.52,53.0,99.2,52.4,7.4,1,1,68.9,2.76,C,1,HIGH
78.9,4.4,3.48,64.6,84.3,64.5,7.8,1,1,77.6,3.1,B,1,MEDIUM
69.9,10.2,3.2,63.8,92.7,55.3,7.9,1,1,71.8,2.87,B,1,HIGH
89.7,16.5,3.34,79.6,97.5,64.1,4.6,0,1,82.7,3.31,B+,1,LOW
76.2,14.9,2.78,68.8,87.8,55.4,5.8,1,1,75.7,3.03,B,1,MEDIUM
68.1,14.5,2.27,63.9,67.4,41.2,6.9,1,1,65.6,2.62,C,1,HIGH
74.1,12.2,3.35,67.8,61.7,54.7,7.8,1,1,66.0,2.64,C,1,HIGH
83.0,12.0,2.07,64.2,84.2,49.8,7.7,1,1,62.7,2.51,C,1,MEDIUM
71.2,8.7,2.94,62.3,79.4,43.7,7.7,1,1,62.2,2.49,C,1,HIGH
68.1,15.5,3.57,67.0,83.3,50.7,6.8,0,1,78.7,3.15,B,1,HIGH
80.9,14.1,3.2,72.7,81.8,42.5,6.8,1,1,63.4,2.54,C,1,MEDIUM
80.9,14.5,4.0,79.3,100.0,59.9,6.4,1,1,78.3,3.13,B,1,MEDIUM
71.9,9.4,3.61,67.9,62.0,39.4,8.0,1,1,58.0,2.32,D,1,HIGH
72.3,1.2,2.77,55.9,52.2,41.3,6.2,1,1,56.8,2.27,D,1,HIGH
80.8,17.5,3.11,75.6,87.0,53.4,8.1,1,1,68.8,2.75,C,1,MEDIUM
60.6,9.6,3.08,57.4,76.4,53.1,7.4,1,1,61.4,2.46,C,1,CRITICAL
61.1,7.7,2.31,58.5,86.7,60.6,7.2,1,1,56.9,2.28,D,1,CRITICAL
69.4,15.5,2.63,58.8,90.8,58.6,6.5,0,1,68.5,2.74,C,1,HIGH
75.4,10.0,2.82,60.9,100.0,57.0,5.7,1,1,73.9,2.96,B,1,MEDIUM
81.7,17.3,2.08,81.2,59.4,49.0,6.5,1,1,65.7,2.63,C,1,MEDIUM
95.7,15.1,3.12,74.9,73.6,42.8,6.8,0,1,70.7,2.83,B,1,MEDIUM
88.3,15.4,2.98,69.1,88.4,55.3,4.6,0,1,72.3,2.89,B,1,MEDIUM
76.1,5.2,2.26,60.2,93.6,50.3,7.0,1,1,66.2,2.65,C,1,MEDIUM
77.8,18.1,3.3,65.5,100.0,63.8,8.2,0,1,74.3,2.97,B,1,MEDIUM
66.0,13.3,3.46,66.8,96.3,74.0,7.8,1,1,77.5,3.1,B,1,HIGH
77.8,10.2,3.21,79.6,81.1,59.3,6.7,1,1,78.8,3.15,B,1,MEDIUM
74.5,12.7,2.94,59.5,68.6,33.4,7.3,1,1,55.9,2.24,D,1,HIGH
81.9,3.1,3.4,56.6,73.5,44.2,6.6,1,0,62.8,2.51,C,1,MEDIUM
68.1,14.0,3.44,61.9,73.1,48.5,7.4,1,1,67.0,2.68,C,1,HIGH
84.2,6.9,3.25,73.9,91.8,59.4,8.9,0,1,70.8,2.83,B,1,MEDIUM
96.4,5.2,2.69,74.7,85.9,52.4,8.3,0,0,67.5,2.7,C,1,MEDIUM
76.7,4.4,3.24,61.4,62.1,44.7,7.8,0,1,63.1,2.53,C,1,MEDIUM
82.8,17.6,3.7,84.3,75.5,48.0,6.7,0,1,76.2,3.05,B,1,MEDIUM
86.3,8.9,2.8,75.3,95.2,55.0,8.0,1,1,72.3,2.89,B,1,MEDIUM
73.2,19.7,4.0,89.6,87.3,65.7,5.3,1,1,79.0,3.16,B,1,HIGH
80.7,9.3,2.84,65.2,90.5,49.7,6.9,0,1,66.1,2.65,C,1,MEDIUM
78.2,3.5,3.12,51.4,87.7,53.7,7.8,0,1,62.4,2.5,C,1,MEDIUM
79.2,6.4,2.76,58.8,100.0,49.4,8.0,1,1,70.2,2.81,B,1,MEDIUM
68.7,18.2,3.21,69.0,85.5,65.5,7.9,1,1,67.6,2.7,C,1,HIGH
78.3,11.2,2.23,60.7,76.2,44.1,7.5,0,1,61.0,2.44,C,1,MEDIUM
84.0,9.3,2.83,66.9,68.3,46.0,7.0,1,1,62.5,2.5,C,1,MEDIUM
95.4,12.8,2.55,79.2,85.7,60.0,7.8,0,1,72.0,2.88,B,1,MEDIUM
89.5,14.5,3.17,83.6,45.4,39.8,6.2,0,1,70.7,2.83,B,1,MEDIUM
100.0,17.6,3.6,87.0,79.2,58.7,6.3,0,1,79.8,3.19,B,1,LOW
68.8,19.2,3.42,79.2,78.9,58.8,7.3,1,0,73.3,2.93,B,1,HIGH
88.5,10.2,1.91,65.1,61.5,49.9,7.4,0,1,58.4,2.34,D,1,HIGH
80.2,5.4,4.0,72.7,68.1,53.8,5.2,0,1,68.9,2.76,C,1,MEDIUM
100.0,9.9,3.25,83.5,94.1,61.7,7.7,0,1,85.3,3.41,A,1,LOW
68.3,13.3,2.71,63.4,85.5,52.3,8.1,1,1,74.4,2.98,B,1,HIGH
67.9,7.2,3.18,72.0,83.5,69.1,7.1,0,1,66.0,2.64,C,1,HIGH
70.8,7.2,3.19,55.9,86.6,57.1,9.8,0,1,65.5,2.62,C,1,HIGH
52.5,13.7,2.77,54.2,83.4,44.1,6.4,1,1,58.6,2.35,D,1,CRITICAL
71.7,11.8,3.2,66.6,100.0,60.6,6.8,0,1,70.3,2.81,B,1,HIGH
68.9,12.2,2.8,65.3,83.9,51.1,6.8,1,1,68.7,2.75,C,1,HIGH
79.8,8.2,2.9,72.0,60.1,44.8,7.1,0,1,62.0,2.48,C,1,MEDIUM
82.1,10.8,2.76,67.6,100.0,52.9,6.8,0,1,72.3,2.89,B,1,MEDIUM
100.0,7.4,2.38,62.9,87.6,51.4,5.7,1,1,69.0,2.76,C,1,MEDIUM
89.4,16.5,3.17,83.0,73.2,65.0,6.6,0,1,82.2,3.29,B+,1,LOW
71.1,17.2,3.39,76.6,63.2,51.7,7.1,0,1,65.7,2.63,C,1,HIGH
67.2,2.8,3.36,49.6,87.9,35.1,8.6,1,1,57.5,2.3,D,1,HIGH
83.9,7.4,3.51,71.7,80.2,60.9,9.6,1,1,77.6,3.11,B,1,MEDIUM
62.2,4.5,3.26,49.7,100.0,61.5,8.7,1,0,62.3,2.49,C,1,CRITICAL
100.0,8.7,2.83,71.3,76.8,50.0,6.3,1,1,72.7,2.91,B,1,MEDIUM
92.2,11.6,3.52,74.4,69.4,54.4,6.4,1,1,67.2,2.69,C,1,MEDIUM
72.4,4.8,2.42,59.8,95.4,51.0,7.0,1,1,61.7,2.47,C,1,HIGH
57.4,7.4,2.65,53.5,95.9,51.6,9.2,1,1,62.8,2.51,C,1,CRITICAL
94.2,7.0,2.62,62.5,84.5,61.6,7.0,1,1,68.7,2.75,C,1,MEDIUM
76.6,13.0,3.64,78.4,92.1,58.8,5.7,0,1,74.6,2.98,B,1,MEDIUM
92.9,12.3,3.57,73.1,81.4,43.3,6.6,0,1,74.2,2.97,B,1,MEDIUM
58.9,8.4,3.34,61.6,85.5,52.3,8.0,1,1,62.5,2.5,C,1,CRITICAL
70.8,12.9,3.64,67.2,99.5,59.5,8.0,1,0,76.1,3.04,B,1,HIGH
78.1,9.3,2.66,62.0,91.4,62.3,7.0,1,1,70.9,2.84,B,1,MEDIUM
78.6,10.6,3.27,72.6,79.5,53.6,8.0,1,1,72.5,2.9,B,1,MEDIUM
72.6,20.4,3.04,75.9,100.0,60.2,4.7,1,1,79.3,3.17,B,1,HIGH
85.5,18.7,3.52,88.3,46.5,51.4,7.3,1,0,73.3,2.93,B,1,MEDIUM
65.2,5.5,3.04,57.7,100.0,58.0,8.1,1,1,72.8,2.91,B,1,HIGH
76.3,16.1,2.91,72.0,56.4,39.7,6.3,1,1,65.7,2.63,C,1,MEDIUM
79.4,16.1,3.37,73.4,72.6,58.0,6.3,0,0,69.9,2.8,C,1,MEDIUM
84.2,6.3,3.54,72.1,81.4,55.3,5.1,1,0,77.9,3.12,B,1,MEDIUM
86.5,16.1,2.77,76.1,79.8,54.8,8.9,1,1,73.7,2.95,B,1,MEDIUM
64.5,19.7,3.07,68.8,97.1,60.6,6.4,1,1,69.6,2.78,C,1,CRITICAL
59.6,6.4,2.57,43.5,66.1,33.1,7.5,0,1,50.5,2.02,D,1,CRITICAL
93.3,7.4,1.85,64.4,85.9,50.5,7.9,1,1,72.0,2.88,B,1,MEDIUM
82.0,17.1,3.2,78.0,73.3,52.7,8.9,0,1,73.6,2.94,B,1,MEDIUM
69.0,13.4,3.4,65.6,86.4,53.1,7.0,0,1,74.6,2.98,B,1,HIGH
96.6,14.8,3.23,74.7,81.0,62.5,6.6,1,1,81.4,3.26,B+,1,LOW
79.4,13.7,2.13,71.1,83.4,56.0,7.4,0,1,70.8,2.83,B,1,MEDIUM
92.2,14.0,2.92,78.5,73.8,58.2,8.6,0,1,71.3,2.85,B,1,MEDIUM
78.8,5.4,1.99,54.5,74.3,46.2,7.0,0,1,59.2,2.37,D,1,HIGH
100.0,17.2,3.78,83.4,86.3,65.9,6.1,1,1,84.1,3.37,B+,1,LOW
99.1,17.8,2.56,75.2,96.2,63.4,5.5,0,1,81.5,3.26,B+,1,LOW
75.0,10.9,3.73,78.8,73.0,52.9,5.9,1,1,74.4,2.97,B,1,MEDIUM
89.7,11.8,3.57,79.0,69.0,51.2,8.2,1,1,74.3,2.97,B,1,MEDIUM
85.7,4.3,2.65,60.5,91.2,48.9,6.8,1,0,68.3,2.73,C,1,MEDIUM
94.4,14.6,2.53,77.0,81.5,58.7,6.5,1,0,77.7,3.11,B,1,LOW
66.4,14.9,3.28,63.9,94.5,56.7,6.4,1,1,66.0,2.64,C,1,HIGH
86.2,11.7,2.68,77.1,68.4,47.5,7.3,0,1,75.1,3.01,B,1,LOW
90.7,17.6,3.15,86.9,55.3,54.8,6.9,0,1,66.9,2.68,C,1,MEDIUM
56.9,10.3,2.86,54.4,74.0,38.4,6.9,1,1,60.6,2.43,C,1,CRITICAL
63.8,14.8,2.21,55.1,70.5,42.2,8.7,1,1,55.8,2.23,D,1,CRITICAL
53.5,6.9,1.98,32.4,80.8,48.2,8.9,0,1,53.1,2.12,D,1,CRITICAL
74.8,11.9,3.21,61.4,72.4,49.3,5.4,0,1,65.9,2.64,C,1,HIGH
86.6,11.1,2.82,63.7,93.1,56.1,7.6,1,1,72.7,2.91,B,1,MEDIUM
96.0,13.1,2.82,77.0,77.7,55.7,6.3,1,1,76.9,3.07,B,1,LOW
78.9,10.2,3.45,69.6,84.3,55.7,6.9,1,1,74.7,2.99,B,1,MEDIUM
97.5,11.3,3.69,75.7,84.4,47.4,7.5,1,1,74.8,2.99,B,1,MEDIUM
61.4,16.1,2.96,62.9,84.9,50.7,7.0,1,1,67.6,2.7,C,1,CRITICAL
57.6,9.8,2.93,59.7,81.6,60.3,7.5,1,1,60.3,2.41,C,1,CRITICAL
77.3,4.0,3.35,67.4,89.7,52.1,7.9,1,1,70.5,2.82,B,1,MEDIUM
82.6,20.7,2.42,63.6,70.1,45.2,7.5,1,1,66.4,2.66,C,1,MEDIUM
77.6,18.9,3.21,75.1,100.0,59.3,6.5,1,1,79.4,3.18,B,1,MEDIUM
53.2,5.5,3.38,48.5,78.5,45.4,6.5,0,1,58.3,2.33,D,1,CRITICAL
76.9,15.4,3.44,79.0,62.3,45.1,5.6,0,1,66.9,2.68,C,1,MEDIUM
62.3,9.5,2.13,56.6,84.8,53.8,6.3,1,1,64.1,2.56,C,1,CRITICAL
86.0,13.3,2.72,66.6,69.2,48.9,9.4,1,0,64.3,2.57,C,1,MEDIUM
82.4,13.5,2.66,65.3,92.0,61.0,6.3,0,0,77.9,3.12,B,1,MEDIUM
66.7,10.8,3.15,61.6,100.0,52.2,5.9,0,1,67.4,2.7,C,1,HIGH
71.8,8.1,3.34,54.2,70.2,42.3,7.6,1,1,54.7,2.19,D,1,HIGH
65.3,8.5,3.85,68.7,87.0,54.0,7.1,1,1,65.7,2.63,C,1,HIGH
77.2,7.4,2.85,62.2,55.7,43.6,7.0,0,1,60.6,2.43,C,1,MEDIUM
89.5,7.8,2.85,74.2,88.8,53.0,8.7,0,0,74.3,2.97,B,1,MEDIUM
66.2,11.7,3.67,63.0,68.7,51.9,7.8,1,1,71.5,2.86,B,1,HIGH
84.0,8.4,3.25,67.4,72.6,56.4,6.6,0,1,66.5,2.66,C,1,MEDIUM
71.6,15.4,3.73,66.9,65.5,40.3,6.7,1,1,63.8,2.55,C,1,HIGH
68.5,19.4,3.24,67.3,93.0,54.4,6.6,0,1,65.8,2.63,C,1,HIGH
76.7,9.1,2.52,56.1,97.1,52.5,8.2,0,1,64.4,2.58,C,1,MEDIUM
65.6,13.2,2.43,64.5,82.4,68.1,6.9,0,1,73.8,2.95,B,1,HIGH
71.4,14.5,2.32,58.8,69.0,42.7,5.2,0,1,54.8,2.19,D,1,HIGH
63.6,14.4,3.43,68.2,100.0,70.5,7.1,0,1,76.4,3.06,B,1,CRITICAL
100.0,12.4,3.69,82.6,70.7,45.5,5.5,0,1,77.4,3.09,B,1,LOW
78.4,15.7,4.0,73.5,49.6,35.9,9.6,1,1,64.1,2.56,C,1,MEDIUM
69.6,14.4,3.52,70.2,88.9,52.5,6.1,0,1,72.0,2.88,B,1,HIGH
80.6,5.8,3.68,73.4,65.4,43.1,7.0,1,0,63.9,2.55,C,1,MEDIUM
76.7,16.3,2.81,64.0,96.8,56.3,7.5,0,0,76.0,3.04,B,1,MEDIUM
75.3,16.4,2.52,71.3,76.3,47.6,6.9,1,1,72.8,2.91,B,1,MEDIUM
85.4,8.2,3.53,68.9,91.1,52.2,6.9,0,1,73.4,2.94,B,1,MEDIUM
87.1,12.2,3.31,73.0,100.0,68.9,7.7,0,1,88.3,3.53,A,1,LOW
71.6,15.4,3.15,72.5,63.9,54.6,8.9,1,1,65.8,2.63,C,1,HIGH
71.1,11.0,3.29,63.8,73.5,54.2,8.0,1,1,67.6,2.7,C,1,HIGH
74.7,17.4,3.26,73.8,80.9,57.6,8.8,1,1,76.8,3.07,B,1,HIGH
50.4,23.8,3.74,70.1,100.0,61.6,6.0,1,1,69.2,2.77,C,1,CRITICAL
59.8,8.1,3.75,64.0,72.1,45.1,7.5,1,1,57.8,2.31,D,1,CRITICAL
94.4,5.1,3.37,61.6,73.1,42.0,7.4,1,1,61.6,2.46,C,1,MEDIUM
97.7,13.5,3.52,73.8,89.2,60.0,7.6,1,0,86.1,3.44,A,1,LOW
75.0,15.6,3.36,76.2,73.3,45.1,8.7,1,1,66.7,2.67,C,1,MEDIUM
84.9,10.8,2.87,75.0,84.3,50.3,7.0,1,1,71.2,2.85,B,1,MEDIUM
81.7,19.3,3.48,75.5,58.7,53.0,6.8,1,1,65.9,2.63,C,1,MEDIUM
100.0,5.3,2.4,67.2,100.0,71.6,7.8,0,1,82.4,3.3,B+,1,LOW
91.4,15.5,3.63,84.0,61.8,52.3,5.2,0,1,72.2,2.89,B,1,MEDIUM
76.5,9.0,2.5,65.1,77.2,57.0,6.9,1,1,65.2,2.61,C,1,MEDIUM
66.5,20.6,3.24,62.2,81.5,49.8,7.1,1,1,65.8,2.63,C,1,HIGH
58.7,22.0,2.68,61.0,100.0,50.3,6.2,1,1,60.6,2.42,C,1,CRITICAL
80.4,8.2,3.38,68.1,62.1,48.9,8.4,1,1,65.9,2.64,C,1,MEDIUM
68.9,9.3,3.08,66.6,100.0,63.4,6.0,0,1,77.2,3.09,B,1,HIGH
60.9,16.3,2.3,71.4,93.4,59.2,7.1,0,0,69.7,2.79,C,1,CRITICAL
70.2,10.1,3.31,65.0,88.3,53.3,7.5,0,1,68.9,2.75,C,1,HIGH
65.0,11.8,2.81,54.1,67.2,48.9,8.7,1,1,59.3,2.37,D,1,HIGH
98.2,12.1,3.54,84.2,90.6,55.6,7.2,1,1,79.9,3.2,B,1,LOW
88.6,2.4,3.1,73.2,71.1,45.8,8.2,0,1,76.5,3.06,B,1,LOW
77.9,11.9,3.3,71.5,100.0,55.4,8.0,1,1,71.3,2.85,B,1,MEDIUM
95.8,8.6,2.62,66.4,67.4,47.4,7.3,0,1,68.3,2.73,C,1,MEDIUM
78.9,9.5,2.81,70.4,80.3,46.7,6.0,0,1,68.0,2.72,C,1,MEDIUM
67.7,19.2,2.87,72.1,73.7,47.0,5.6,1,1,68.7,2.75,C,1,HIGH
96.3,5.7,3.53,71.0,67.2,43.9,7.3,0,1,74.3,2.97,B,1,MEDIUM
84.5,16.1,3.94,84.3,93.1,61.0,6.6,1,1,81.1,3.24,B+,1,MEDIUM
65.6,10.6,2.7,64.5,90.0,46.5,8.2,1,1,65.4,2.61,C,1,HIGH
75.7,10.6,3.64,77.6,100.0,63.8,8.0,1,1,79.6,3.18,B,1,MEDIUM
67.5,16.0,2.02,58.9,55.3,47.3,7.0,0,1,48.4,1.94,F,0,CRITICAL
61.4,13.7,2.5,56.8,98.0,57.0,5.9,1,1,59.0,2.36,D,1,CRITICAL
89.1,14.9,2.62,79.1,100.0,73.0,7.8,1,1,79.2,3.17,B,1,LOW
100.0,16.8,2.42,71.8,75.2,59.6,6.1,1,0,71.8,2.87,B,1,MEDIUM
61.2,10.3,2.31,56.5,100.0,61.6,6.4,1,1,61.2,2.45,C,1,CRITICAL
84.8,8.9,3.31,64.9,78.1,51.1,6.1,0,1,71.8,2.87,B,1,MEDIUM
70.2,6.6,2.99,66.1,61.4,44.5,7.0,0,1,61.7,2.47,C,1,HIGH
72.2,7.9,3.29,63.8,77.4,54.7,8.5,1,1,66.3,2.65,C,1,HIGH
70.9,26.7,3.45,87.2,97.7,62.9,7.2,1,1,74.9,3.0,B,1,HIGH
67.6,18.2,3.23,73.3,69.4,38.5,6.7,0,1,63.5,2.54,C,1,HIGH
78.6,5.2,3.43,60.9,73.0,50.4,5.5,0,1,56.9,2.28,D,1,HIGH
68.0,5.4,3.07,66.6,90.9,49.5,7.8,1,0,66.7,2.67,C,1,HIGH
81.2,14.4,2.51,75.9,82.0,49.8,6.3,0,1,70.3,2.81,B,1,MEDIUM
77.4,14.7,3.63,80.1,90.8,60.3,7.3,0,1,78.1,3.12,B,1,MEDIUM
75.1,14.7,2.81,64.2,85.6,52.9,6.8,0,1,61.9,2.48,C,1,MEDIUM
67.1,10.7,2.63,58.3,89.2,44.7,8.1,0,1,62.8,2.51,C,1,HIGH
71.1,11.4,3.01,65.9,75.5,51.0,7.0,1,1,61.9,2.48,C,1,HIGH
87.1,13.6,2.64,67.7,85.5,60.3,7.1,0,1,69.4,2.78,C,1,MEDIUM
84.0,12.4,2.89,79.3,68.1,44.3,7.7,0,1,71.6,2.87,B,1,MEDIUM
66.3,1.0,3.27,57.5,100.0,64.9,9.5,0,1,77.0,3.08,B,1,HIGH
79.2,10.9,3.27,57.0,72.5,36.7,8.2,0,1,61.4,2.45,C,1,MEDIUM
87.0,7.7,2.65,68.3,98.9,72.8,7.1,1,1,74.7,2.99,B,1,MEDIUM
58.0,12.9,2.86,57.5,78.5,46.2,7.2,0,1,60.0,2.4,D,1,CRITICAL
84.5,26.9,3.64,88.3,85.0,61.4,6.6,1,1,83.9,3.35,B+,1,MEDIUM
70.0,13.8,3.35,67.5,74.6,38.7,6.2,0,1,65.7,2.63,C,1,HIGH
84.8,10.4,4.0,82.6,66.8,51.1,6.6,0,1,84.1,3.37,B+,1,MEDIUM
68.8,16.6,3.69,79.4,55.8,47.5,6.4,0,1,64.6,2.58,C,1,HIGH
56.3,14.4,3.67,67.7,66.2,46.3,7.9,0,1,63.1,2.52,C,1,CRITICAL
58.5,14.1,2.41,55.1,77.1,44.0,6.0,1,1,62.2,2.49,C,1,CRITICAL
78.6,15.0,3.48,75.0,85.2,50.9,8.7,1,1,77.6,3.11,B,1,MEDIUM
81.1,22.3,3.07,79.0,97.2,69.3,8.0,1,1,72.7,2.91,B,1,MEDIUM
67.1,6.3,2.82,53.9,75.3,46.5,7.2,0,1,59.6,2.38,D,1,HIGH
85.7,14.4,3.18,78.4,68.8,60.3,7.2,0,0,79.2,3.17,B,1,LOW
58.1,7.4,3.57,62.9,60.4,39.9,6.6,0,1,68.5,2.74,C,1,CRITICAL
77.2,14.8,3.35,81.1,89.2,57.4,7.5,1,1,78.3,3.13,B,1,MEDIUM
63.5,7.4,2.66,62.0,100.0,63.5,8.4,0,1,67.5,2.7,C,1,CRITICAL
70.2,9.9,3.47,63.9,100.0,49.4,6.4,1,1,65.7,2.63,C,1,HIGH
78.6,10.5,2.78,70.1,92.6,50.8,5.5,0,1,78.1,3.12,B,1,MEDIUM
67.7,16.9,3.21,64.9,91.6,62.7,8.0,0,1,73.0,2.92,B,1,HIGH
73.4,16.6,2.95,73.4,100.0,55.0,7.6,1,1,69.8,2.79,C,1,HIGH
90.1,5.8,2.99,66.5,87.0,43.8,6.0,1,0,68.7,2.75,C,1,MEDIUM
71.1,12.3,3.48,64.6,91.7,67.3,6.4,1,1,73.9,2.96,B,1,HIGH
88.0,8.5,2.58,68.4,77.2,43.0,6.3,1,1,68.8,2.75,C,1,MEDIUM
64.4,5.7,4.0,52.2,61.6,41.4,6.4,1,1,55.0,2.2,D,1,CRITICAL
84.4,10.9,2.19,55.5,71.7,45.7,6.8,0,1,59.0,2.36,D,1,HIGH
95.3,10.5,2.8,72.8,81.9,37.7,6.9,1,1,63.8,2.55,C,1,MEDIUM
48.3,24.1,3.29,67.8,82.9,51.9,6.5,0,1,67.3,2.69,C,1,CRITICAL
68.4,14.2,3.39,67.4,100.0,62.9,6.4,1,1,71.9,2.88,B,1,HIGH
84.9,5.1,3.05,58.8,83.2,53.1,6.9,1,1,69.6,2.79,C,1,MEDIUM
75.6,9.2,3.07,61.8,99.7,63.8,7.4,1,1,77.2,3.09,B,1,MEDIUM
82.5,17.1,3.31,79.2,75.5,51.6,6.9,1,1,73.5,2.94,B,1,MEDIUM
70.8,22.4,2.98,76.6,77.3,58.2,8.5,1,1,70.3,2.81,B,1,HIGH
79.0,4.1,3.8,69.1,62.1,41.4,7.8,0,1,66.4,2.66,C,1,MEDIUM
76.1,2.6,3.52,70.3,70.9,41.0,5.5,0,1,66.2,2.65,C,1,MEDIUM
92.0,21.4,3.54,88.8,89.9,54.8,7.8,0,1,85.4,3.42,A,1,LOW
